Region,Crop,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,CO2_ppm,Avg_pH,Avg_Nitrogen_ppm,Avg_Phosphorus_ppm,Avg_Organic_Matter_Percent,Yield_kg_per_ha,GDD,Cumulative_Rainfall,Days_Into_Season,pH_Temperature_Interaction,Nitrogen_Rainfall_Interaction,Is_Rainy_Season,Is_Peak_Growing,Heat_Stress,Cold_Stress,Rainfall_Anomaly,Drought_Risk,Flood_Risk,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_MA_3yr,Temp_MA_3yr,Rain_MA_3yr,Yield_YoY_Change,Temp_YoY_Change,Rain_YoY_Change,Yield_Volatility_3yr
North East,Maize,2020,1,28.43138888888889,210.275,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,210.275,0,183.8563148148148,10815.144166666667,0,0,0,0,1.3471289497970143,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2020,2,29.529465100242206,158.96433881281808,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,369.2393388128181,0,190.9572076482329,8176.065826272611,0,0,0,0,1.3471289497037897,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2020,3,29.93138888888889,140.18333333333334,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,509.4226721461514,0,193.55631481481478,7210.096111111112,0,0,0,0,1.3471289496526062,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2020,4,29.529465100242206,158.9643388128181,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31327201104861924,19.529465100242206,668.3870109589695,0,190.9572076482329,8176.065826272612,1,0,0,0,1.3471289497037895,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2020,5,28.43138888888889,210.275,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31327201104861924,18.43138888888889,878.6620109589695,30,183.8563148148148,10815.144166666667,1,1,0,0,1.3471289497970143,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2020,6,26.93138888888889,280.3666666666667,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31327201104861924,16.93138888888889,1159.0286776256362,60,174.1563148148148,14420.192222222224,1,1,0,0,1.3471289498692174,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2020,7,25.43138888888889,350.45833333333337,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31327201104861924,15.43138888888889,1509.4870109589697,90,164.4563148148148,18025.240277777782,1,1,0,0,1.3471289499125403,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2020,8,24.333312677535574,401.7689945205152,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31327201104861924,14.333312677535574,1911.2560054794849,120,157.3554219813967,20664.318618171834,1,0,0,0,1.3471289499346706,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2020,9,23.93138888888889,420.55,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31327201104861924,13.93138888888889,2331.8060054794846,150,154.7563148148148,21630.288333333334,1,0,0,0,1.3471289499414216,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2020,10,24.333312677535574,401.76899452051526,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,2733.575,180,157.3554219813967,20664.318618171837,0,0,0,0,1.3471289499346712,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
